time,rel_time(sec),velocity(c/s)
2019-05-23T02:00:00.000000,0.0,259.3345031738281
2019-05-23T02:00:01.000000,1.0,169.33929443359375
2019-05-23T02:00:02.000000,2.0,192.3441162109375
2019-05-23T02:00:03.000000,3.0,191.34893798828125
2019-05-23T02:00:04.000000,4.0,271.353759765625
2019-05-23T02:00:05.000000,5.0,226.35858154296875
2019-05-23T02:00:06.000000,6.0,157.3634033203125
2019-05-23T02:00:07.000000,7.0,155.36822509765625
2019-05-23T02:00:08.000000,8.0,91.37303924560548
2019-05-23T02:00:09.000000,9.0,291.3778686523437
2019-05-23T02:00:10.000000,10.0,202.3826904296875
2019-05-23T02:00:11.000000,11.0,78.38749694824219
2019-05-23T02:00:12.000000,12.0,227.39230346679688
2019-05-23T02:00:13.000000,13.0,145.39712524414062
2019-05-23T02:00:14.000000,14.0,223.4019470214844
2019-05-23T02:00:15.000000,15.0,265.4067687988281
2019-05-23T02:00:16.000000,16.0,126.4115982055664
2019-05-23T02:00:17.000000,17.0,163.41641235351562
2019-05-23T02:00:18.000000,18.0,285.4212341308594
2019-05-23T02:00:19.000000,19.0,311.4260559082031
2019-05-23T02:00:20.000000,20.0,230.43087768554688
2019-05-23T02:00:21.000000,21.0,151.43569946289062
2019-05-23T02:00:22.000000,22.0,83.44051361083984
2019-05-23T02:00:23.000000,23.0,137.44534301757812
2019-05-23T02:00:24.000000,24.0,205.45016479492188
2019-05-23T02:00:25.000000,25.0,159.4549560546875
2019-05-23T02:00:26.000000,26.0,174.45977783203125
2019-05-23T02:00:27.000000,27.0,300.4646301269531
2019-05-23T02:00:28.000000,28.0,339.46942138671875
2019-05-23T02:00:29.000000,29.0,289.4742431640625
2019-05-23T02:00:30.000000,30.0,341.47906494140625
2019-05-23T02:00:31.000000,31.0,230.48388671875
2019-05-23T02:00:32.000000,32.0,138.48870849609375
2019-05-23T02:00:33.000000,33.0,248.4935302734375
2019-05-23T02:00:34.000000,34.0,165.49835205078125
2019-05-23T02:00:35.000000,35.0,158.503173828125
2019-05-23T02:00:36.000000,36.0,144.50799560546875
2019-05-23T02:00:37.000000,37.0,112.51280212402344
2019-05-23T02:00:38.000000,38.0,251.51763916015625
2019-05-23T02:00:39.000000,39.0,160.52243041992188
2019-05-23T02:00:40.000000,40.0,79.52725982666016
2019-05-23T02:00:41.000000,41.0,103.5320816040039
2019-05-23T02:00:42.000000,42.0,172.53689575195312
2019-05-23T02:00:43.000000,43.0,325.5417175292969
2019-05-23T02:00:44.000000,44.0,346.5465393066406
2019-05-23T02:00:45.000000,45.0,336.5513610839844
2019-05-23T02:00:46.000000,46.0,317.5561828613281
2019-05-23T02:00:47.000000,47.0,227.56100463867188
2019-05-23T02:00:48.000000,48.0,224.5658264160156
2019-05-23T02:00:49.000000,49.0,239.57064819335935
2019-05-23T02:00:50.000000,50.0,162.57546997070312
2019-05-23T02:00:51.000000,51.0,186.58029174804688
2019-05-23T02:00:52.000000,52.0,168.5850830078125
2019-05-23T02:00:53.000000,53.0,186.58990478515625
2019-05-23T02:00:54.000000,54.0,226.5947265625
2019-05-23T02:00:55.000000,55.0,98.59955596923828
2019-05-23T02:00:56.000000,56.0,229.6043701171875
2019-05-23T02:00:57.000000,57.0,300.60919189453125
2019-05-23T02:00:58.000000,58.0,159.614013671875
2019-05-23T02:00:59.000000,59.0,186.61883544921875
2019-05-23T02:01:00.000000,60.0,134.6236572265625
2019-05-23T02:01:01.000000,61.0,129.62847900390625
2019-05-23T02:01:02.000000,62.0,237.63330078125
2019-05-23T02:01:03.000000,63.0,247.63812255859372
2019-05-23T02:01:04.000000,64.0,256.6429443359375
2019-05-23T02:01:05.000000,65.0,143.64773559570312
2019-05-23T02:01:06.000000,66.0,97.65257263183594
2019-05-23T02:01:07.000000,67.0,224.65737915039065
2019-05-23T02:01:08.000000,68.0,265.6622314453125
2019-05-23T02:01:09.000000,69.0,237.66702270507807
2019-05-23T02:01:10.000000,70.0,131.67184448242188
2019-05-23T02:01:11.000000,71.0,134.67666625976562
2019-05-23T02:01:12.000000,72.0,149.68148803710938
2019-05-23T02:01:13.000000,73.0,174.68630981445312
2019-05-23T02:01:14.000000,74.0,305.6911315917969
2019-05-23T02:01:15.000000,75.0,138.69595336914062
2019-05-23T02:01:16.000000,76.0,66.70076751708984
2019-05-23T02:01:17.000000,77.0,130.70559692382812
2019-05-23T02:01:18.000000,78.0,95.7104034423828
2019-05-23T02:01:19.000000,79.0,230.7152099609375
2019-05-23T02:01:20.000000,80.0,218.72003173828125
2019-05-23T02:01:21.000000,81.0,170.724853515625
2019-05-23T02:01:22.000000,82.0,163.72967529296875
2019-05-23T02:01:23.000000,83.0,140.7344970703125
2019-05-23T02:01:24.000000,84.0,212.73931884765625
2019-05-23T02:01:25.000000,85.0,193.744140625
2019-05-23T02:01:26.000000,86.0,239.74896240234372
2019-05-23T02:01:27.000000,87.0,235.7537841796875
2019-05-23T02:01:28.000000,88.0,165.75860595703125
2019-05-23T02:01:29.000000,89.0,146.763427734375
2019-05-23T02:01:30.000000,90.0,153.76824951171875
2019-05-23T02:01:31.000000,91.0,251.7730712890625
2019-05-23T02:01:32.000000,92.0,244.77786254882807
2019-05-23T02:01:33.000000,93.0,201.78268432617188
2019-05-23T02:01:34.000000,94.0,161.78750610351562
2019-05-23T02:01:35.000000,95.0,97.7923355102539
2019-05-23T02:01:36.000000,96.0,35.79715347290039
2019-05-23T02:01:37.000000,97.0,21.80197525024414
2019-05-23T02:01:38.000000,98.0,134.80679321289062
2019-05-23T02:01:39.000000,99.0,124.81160736083984
2019-05-23T02:01:40.000000,100.0,56.816436767578125
2019-05-23T02:01:41.000000,101.0,82.82125091552734
2019-05-23T02:01:42.000000,102.0,75.8260726928711
2019-05-23T02:01:43.000000,103.0,134.83090209960938
2019-05-23T02:01:44.000000,104.0,210.83572387695312
2019-05-23T02:01:45.000000,105.0,181.84054565429688
2019-05-23T02:01:46.000000,106.0,165.8453369140625
2019-05-23T02:01:47.000000,107.0,120.85016632080078
2019-05-23T02:01:48.000000,108.0,156.85498046875
2019-05-23T02:01:49.000000,109.0,157.85980224609375
2019-05-23T02:01:50.000000,110.0,3.8646278381347656
2019-05-23T02:01:51.000000,111.0,74.86944580078125
2019-05-23T02:01:52.000000,112.0,88.874267578125
2019-05-23T02:01:53.000000,113.0,18.87908744812012
2019-05-23T02:01:54.000000,114.0,121.88390350341795
2019-05-23T02:01:55.000000,115.0,134.88873291015625
2019-05-23T02:01:56.000000,116.0,162.8935546875
2019-05-23T02:01:57.000000,117.0,128.89837646484375
2019-05-23T02:01:58.000000,118.0,17.90318489074707
2019-05-23T02:01:59.000000,119.0,27.908004760742188
2019-05-23T02:02:00.000000,120.0,49.91282272338867
2019-05-23T02:02:01.000000,121.0,132.91763305664062
2019-05-23T02:02:02.000000,122.0,156.92245483398438
2019-05-23T02:02:03.000000,123.0,122.92728424072266
2019-05-23T02:02:04.000000,124.0,106.93209838867188
2019-05-23T02:02:05.000000,125.0,49.936920166015625
2019-05-23T02:02:06.000000,126.0,89.94174194335938
2019-05-23T02:02:07.000000,127.0,110.94656372070312
2019-05-23T02:02:08.000000,128.0,83.95137786865234
2019-05-23T02:02:09.000000,129.0,161.95620727539062
2019-05-23T02:02:10.000000,130.0,157.96102905273438
2019-05-23T02:02:11.000000,131.0,43.96583938598633
2019-05-23T02:02:12.000000,132.0,86.97065734863281
2019-05-23T02:02:13.000000,133.0,22.97547721862793
2019-05-23T02:02:14.000000,134.0,-55.01970291137695
2019-05-23T02:02:15.000000,135.0,117.98511505126952
2019-05-23T02:02:16.000000,136.0,22.98993492126465
2019-05-23T02:02:17.000000,137.0,-64.0052490234375
2019-05-23T02:02:18.000000,138.0,26.99957275390625
2019-05-23T02:02:19.000000,139.0,6.00439453125
2019-05-23T02:02:20.000000,140.0,84.00921630859375
2019-05-23T02:02:21.000000,141.0,110.01403045654295
2019-05-23T02:02:22.000000,142.0,106.01885223388672
2019-05-23T02:02:23.000000,143.0,67.02367401123047
2019-05-23T02:02:24.000000,144.0,16.028491973876953
2019-05-23T02:02:25.000000,145.0,203.0333251953125
2019-05-23T02:02:26.000000,146.0,165.03811645507812
2019-05-23T02:02:27.000000,147.0,-15.957050323486328
2019-05-23T02:02:28.000000,148.0,37.04777145385742
2019-05-23T02:02:29.000000,149.0,38.05258941650391
2019-05-23T02:02:30.000000,150.0,56.057411193847656
2019-05-23T02:02:31.000000,151.0,92.06222534179688
2019-05-23T02:02:32.000000,152.0,55.06704711914063
2019-05-23T02:02:33.000000,153.0,16.071866989135742
2019-05-23T02:02:34.000000,154.0,40.07668685913086
2019-05-23T02:02:35.000000,155.0,152.08151245117188
2019-05-23T02:02:36.000000,156.0,52.08632659912109
2019-05-23T02:02:37.000000,157.0,28.091144561767575
2019-05-23T02:02:38.000000,158.0,91.09596252441406
2019-05-23T02:02:39.000000,159.0,-18.899215698242188
2019-05-23T02:02:40.000000,160.0,91.10560607910156
2019-05-23T02:02:41.000000,161.0,68.11042022705078
2019-05-23T02:02:42.000000,162.0,-78.88475799560547
2019-05-23T02:02:43.000000,163.0,37.12006378173828
2019-05-23T02:02:44.000000,164.0,159.1248779296875
2019-05-23T02:02:45.000000,165.0,185.12969970703125
2019-05-23T02:02:46.000000,166.0,116.134521484375
2019-05-23T02:02:47.000000,167.0,73.13934326171875
2019-05-23T02:02:48.000000,168.0,42.144161224365234
2019-05-23T02:02:49.000000,169.0,112.14897918701172
2019-05-23T02:02:50.000000,170.0,171.15380859375
2019-05-23T02:02:51.000000,171.0,10.158618927001951
2019-05-23T02:02:52.000000,172.0,-10.836562156677246
2019-05-23T02:02:53.000000,173.0,107.1682586669922
2019-05-23T02:02:54.000000,174.0,161.17306518554688
2019-05-23T02:02:55.000000,175.0,143.17788696289062
2019-05-23T02:02:56.000000,176.0,139.18270874023438
2019-05-23T02:02:57.000000,177.0,49.18753433227539
2019-05-23T02:02:58.000000,178.0,-38.807647705078125
2019-05-23T02:02:59.000000,179.0,105.19717407226562
2019-05-23T02:03:00.000000,180.0,124.20198822021484
2019-05-23T02:03:01.000000,181.0,102.2068099975586
2019-05-23T02:03:02.000000,182.0,80.21163177490234
2019-05-23T02:03:03.000000,183.0,34.216453552246094
2019-05-23T02:03:04.000000,184.0,182.2212829589844
2019-05-23T02:03:05.000000,185.0,39.22609329223633
2019-05-23T02:03:06.000000,186.0,-88.76908874511719
2019-05-23T02:03:07.000000,187.0,159.2357177734375
2019-05-23T02:03:08.000000,188.0,180.24053955078125
2019-05-23T02:03:09.000000,189.0,149.245361328125
2019-05-23T02:03:10.000000,190.0,170.25018310546875
2019-05-23T02:03:11.000000,191.0,51.255008697509766
2019-05-23T02:03:12.000000,192.0,40.25982666015625
2019-05-23T02:03:13.000000,193.0,33.2646484375
2019-05-23T02:03:14.000000,194.0,78.26947021484375
2019-05-23T02:03:15.000000,195.0,150.2742919921875
2019-05-23T02:03:16.000000,196.0,7.279106140136719
2019-05-23T02:03:17.000000,197.0,-31.716073989868164
2019-05-23T02:03:18.000000,198.0,91.28874206542967
2019-05-23T02:03:19.000000,199.0,155.2935791015625
2019-05-23T02:03:20.000000,200.0,115.2983856201172
2019-05-23T02:03:21.000000,201.0,89.30320739746094
2019-05-23T02:03:22.000000,202.0,61.30802154541016
2019-05-23T02:03:23.000000,203.0,62.31284332275391
2019-05-23T02:03:24.000000,204.0,165.31765747070312
2019-05-23T02:03:25.000000,205.0,73.32247924804688
2019-05-23T02:03:26.000000,206.0,115.32730102539062
2019-05-23T02:03:27.000000,207.0,158.33212280273438
